Sentences,Sentiment
अहिले सम्मको झल्लो फिल्म राम्रो नि लागेन,-1
मन पर्यो यो फिलिम हजुर हरुले एस्तै फिलिम बनाउदै जानू हामिलाइ रमाइलो गरैदिनु राम्रो छ ल,1
कस्तो आलु जस्तो मोभी प्रतीप को मोभी धेरै हेरे तर कुनै राम्रो लागेन,-1
पर्दिप को यो फिलिम चाई पागल जस्तो छ कस्तो फिल्म खेलेको यत्रो सुपर स्टार् ले,-1
केरा जस्तो  फिलिम ,-1
राम्राे छ है कमिडि पनि राेमान्टिक छ,1
"कलाकारको अभिनय  भएन,",-1
थुइक्क यो फिल्म बनाउने पैसा ले अनाथ बालबालिका को लागि सहयोग गरेको भा कति धर्म हुन्थ्यो,-1
कस्तो नमिठो स्वर हिरुनी को,-1
अरे वाह अत्ति दामि राम्रो,1
फिल्म सन्देशमूलक छ,1
सलाम छ यो फिल्म बनाउनेलाई,1
धेरै ज्ञानबर्दक र चेतनामूलक चलचित्र बनाउने निर्माता निर्देशकलाई धन्यवाद,1
मलाई एकदमै मनपरेको चलचित्र नेपाली सिनेमा जगतको शायदै पहिलो उत्कृष्ट चलचित्र हो यो आजसम्मको,1
अहो कस्तो राम्रो अभिनय कस्तो हृदय बिदार्क कथा बस्तु ,1
साच्चीकै  बल्ल हाम्रो नेपाली फिल्म मा दम हुन लागेको छ  निकै मन पर्यो हिरो रोलमा अझै फास्टर  हुन जरूरी छ,1
एक सय एक कलाकार हरु को अभिनयले गर्दा फिल्म राम्रो भएछ,1
कथा राम्रो छ।,1
अहिलेका तरुना तन्नेरी लाई पक्कै मन पर्दैन होला तर गम्भीर विषयको उठान गरेको छ यो चलचित्रले !!  यस चलचित्रका सम्पूर्ण पात्र र निरमाण टीमलाइ बधाई,1
कति राम्रो रहेछ कहानी र आख चिम्लेर साथिलाई बिश्वास गर्नु नहुने  र हरेक कुराको वास्तविक  सत्य कुरा बुडा बुडिमा साटासाट हुनुपर्ने र जे छ त्यसैमा खुशी हुनु पर्ने रहेछ भन्ने पाठ सिकायो।,1
जे होस मुबि  बबाल छ यार.. ,1
धेरै राम्रो फिल्म,1
वाह वाह। फिल्म होस त यस्तो साह्रै राम्रो फिल्म।,1
जति हेर्यो तेति राम्रो लाग्छ,1
फिलिम चै दामी छ,1
अब देखि यस्त्यो फिलीम नबनाउनु होला,-1
सारै राम्रो रहेछ फिल्म मत लास्टै हासे ,1
राम्रो छ यो फिल्म ।मैले त पहिला हलमा नाई हेरिसकेको हो फेरि पनि हेर्ने हो ।सबैले हेर्नुहोस है एकदम राम्रो छ।,1
आस्दादै राम्रो लागो मलाइ मेरो सारा चिन्ता दुर भयो।,1
साथिहरुले फिलिम बनाउन खाेजेका त हुन तर अलि के नपुग दालमा नुन नपुग जस्ताे भयछ ,-1
फिल्म  सार्है राम्रो लाग्यो। फिल्मका सम्पूर्ण टिमलाई बधाई तथा शुभकामना,1
फिल्म एकदम राम्रो लाग्यो,1
स्कृप्ट राईटर र डाईलग मास्टरलाई गोद्नु पर्ने,-1
फिल्म सोचेको भन्दा धेरै राम्रो रयछ।,1
ताइ न तुइ को फिलिम,-1
यति राम्रो फिलिम त सायद एक जुनि मा एक चोटि मात्रै बन्छ होला सायद यस्तै राम्रो फिलिम त सायद यो जुनि मा अब हेर्न पाइँदैन होला,1
यो फिलिम किन किन हजार पटक हेरे पनि अझै हेरिरहनु मन लाग्छ,1
अती उत्कृष्ट फिल्म ,1
अत्यन्तै उतकृस्ट लाग्यो र रहेछ चलचित्र,1
यो हो नि त फिलिम भनेको सारै मन पर्यो,1
कति मार्मिक कथा अनि जिवन्त अभिनय बिपिन कार्कि जिको! अति नै मन छोयो! !,1
"एउटा  नेपालि  सामान्य स्टेज कलाकार को वास्तविक मानचित्र बोकेको छ यो चलचित्र ले , मन छोयो ' उत्कृस्ट चलचित्र",1
"अरु बकवास हँसाउने फिल्म, वाइयात लभ स्टोरी फिल्म हरु भन्दा यो फिल्म कयौँ गुणा ठीक",1
नेपाली समाज र गाउले ईमानदार मान्छेको जिवन असलि यथार्थ जीवन सग मेल खाने तितो सत्य कथा बोकेको मनछुने फिल्म रहेछ ,1
धेरै पछि यति राम्रो नेपाली मूभि हेर्न पाइयो ।,1
धेरै कुरा मिल्छ हामी कलाकारको यो फिल्ममा ।सिक्नुपर्ने कुरा नि छ ।,1
सारै राम्रो लाग्यो फ्लिम। सच्चा कलाकारको यथार्थता देखाउन खोजिएको छ।,1
के तालको फिल्म भन्या यस्तो,-1
यस्ताे जावाे फिल्म के वनाकाे छि।,-1
सुन्दर चलचित्र,1
बकबास फिल्म ,-1
यस्तो झुर फिल्म पनि बनाउने हो।,-1
महाझुर फील्म,-1
जेहोस् राम्रै लाग्यो यो फिलीम पनि,1
राम्रै रहेछ हेरियो समय काटियो खुशी लागयो।,1
फिलिम सुरु भएको ५ मिनेट बाट निन्द्रा लागेर सुतेको अहिले उठदा समेत फिलिम सकिएको रहेनछ कति झुर फिलिम हो यो?,-1
केको फिल्म बनाको एस्तो छि छि ,-1
क्लाईमेक्स एकदमै दमदार रहेछ । समग्र चलचित्र राम्राे बनेकाे रहेछ ।,1
खै के भनुम दर्शक बिन्द यो चलचित्र मा कुनै शब्द हरू पाएको छैन बर्णन गर्नलाई धेरै भन्दा धेरै राम्रो छ मन छुने,1
सारै राम्रो छ फिलिम,1
फिल्म हेर्दाहेर्दै निन्द्रा लाग्ने ,-1
छाँयाङ्कन राम्रो छ,1
मज्जा आयो फिलिम अति राम्रो बनेको रहिछ,1
कति राम्रोहो यो फिलम धन्यबाद,1
फिलिम्त धेरै हेरियो तर योजश्तो झुर हेरेको थियेन,-1
फिल्म् भनेकाे याे हाे नि त,1
धेरै  राम्रो  छ अतिनै मार्मिक छ,1
बबाल दामी चलचिञ नेपाली चलचिञ पनि यति राम्रो बन्दो रछ मजा आयो हेर्न,1
अती उत्तम चलचित्र हेर्न पाईयो।। धन्यबाद,1
धेरै पछि यति राम्रो नेपाली फिलिम हेर्न पाइयो,1
"हैत,कति हास्नु हो यर जे होस् मुड मजाले फ्रेस भयो फिल्म हेरेर",1
फिलिम त खत्रा दामी,1
"शास्त्रमा लेख्नलाई छुट्या मात्रै हो जिबन जात्रा हो, कस्तो राम्रो सिनेमा |",1
यो होनि मुबि त |साचि नै भन्नु पर्दा माया भन्दा ठूलो केहि छैन सलाम छ यो मुबि बनाउने लाई,1
"मन छाेयाे याे फिल्मले ,हाम्रो सामाजकाे बास्तबिकता मा आधारित रैछ |",1
आज भोलिका लेपाली फिल्म खोई के भन्नु के के नमिले जस्ता |,-1
लौ त्यसपछि केभयोत अन्त्यनै छैनहै फिल्मको केहो पारा |,-1
वाउ कति राम्रो मुबी मेरो त मनै छोयो,1
फिल्म भनेको यशतो हुनुपर्छ कति धेरै राम्रो  छ फिल्म,1
"जति हेरे पनि मन भरिन्न ,मलाई  मात्र हाेकि हजुर हरु लाई पनि हाे |",1
यक दमै राम्रो छ मुभी,1
धेरै  राम्रो  छ फिल्म  सारै मन पराे मलाई  यस्तै  यस्तै  फिल्म  हेरन पाईयाेस्,1
आफूले आफैँलाई महानायक ठान्नै झारपात हरू,-1
जेहोस् राम्रै लाग्यो यो फिलीम पनि,1
यस्तो मोबि हेर्न पाउनु भनेको नेपाली हरुको ठूलो भाग्यहो हजुर,1
साथिहरुले फिलिम बनाउन खाेजेका त हुन तर अलि के नपुग दालमा नुन नपुग जस्ताे भयछ,-1
फ्लिम हेरेर लास्तै इन्जोए गरियो।,1
फिल्म  सार्है राम्रो लाग्यो। फिल्मका सम्पूर्ण टिमलाई बधाई तथा शुभकामना,1
तेस्काबाजे कमेडी मुभी हासी नसक्नु रहेछ यार।,1
साच्चै राम्रो  बनेको  छ  फिल्म  नाम  जस्तै  कम तेस्तै,1
बल्ल राम्रो मुभी हेर्न पाइयो।,1
मन पर्यो फिल्म,1
यति राम्रो फिलम धेरै बर्स पछि हेर्न पाइयो,1
 सारै राम्रो अनि रमाइलो फिल्म हेर्न सुरु गरे बाट मज्जाले हासेर बित्यो ,1
फिल्म हेर्न मन त हुन्छ तर के गर्ने नेपाली फिल्म छेउन टुप्पाको हुन्छ एउटा धङको फिल्म बनाउन सकिएन  नेपालीहरूले,-1
अहिले सम्मको नम्बर 1 फिल्म,1
"फिल्म पुरै हेरीयो तर मन परेन,  हावा को फिल्म रछ , अनि यो फिल्म ले कुनै पनि सन्देश दिने खाल्को कथा बस्तु छैन मैले हेरे अनुसार |",-1
फिल्मको समाप्ति राम्रो छैन,-1
ताइ न तुइ को फिलिम,-1
फिलिम को कथा बस्तु एकदम सहि छ,1
कमेडी फिल्म ठिकै राम्रै छ हेरे महिले पनि,1
धेरै राम्रो लाग्यो बधाई छ सबैलाई धेरै धेरै धन्नेबाद,1
लु यो तरिका ले फिलिम चिलिम होला,-1
दामी छ बबाल हसायो चलचित्रले,1
कमेडी कलाकार बाहेकको सबै झुर रोल।,-1
जय किशन को फिल्म सबै झुर छ,-1
कि फील्म नै नबनाउनु  बनाएपछी अली राम्रो बनाउनु यो त नेपाली चलचीत्र  जगत बेइज्जत गर्ने चलचीत्र भयो ,-1
भिडियो राम्रो छ मेहनत पनि छ  खर्च पनि गरेको छ तर लास्टमा छेउन टुप्पो को रहेछ अलि कति समय बडाएर राम्रो संग अन्त्य गरेको भए राम्रो हुन्थ्यो होला हत्तारमा बनाएको रहेछ,-1
इतिहास कै खत्तम फिल्म  समय मात्र  बर्बाद्।यौटै डाइलग यक्का दुक्कि भो,-1
"यो फिल्म राम्रो छैन, कहानी जो छैन हेरे र समय खेर न पारे हुन्छ।",-1
छि छि छि के मूबि हो यो,-1
म त कति चोटि हेरिसके फेरि फेरि हेर्छु यो चलचित्र,1
हैट यो फिल्म हेरेर म कहिले थाकिन,1
मुभी चै हो के सार्है राम्रो लाग्यो,1
यो फिल्म अति नै राम्रो लाग्यो। यो अन्तरजातीय विवाह सम्बन्धी रहेछ। रोचक रहेछ कहानी।,1
राम्रै हो फिल्म भन्नुपर्छ,1
एकदमै राम्रो मन पर्याे मलाई फिल्म ,1
यो फिल्म मैले पन्ध्र  चोटि हेरे होला खै एकदम मन पर्छ किन हो,1
धेरै धेरै धेरै धेरै  राम्रो छ मुभि,1
मन छोएको कहानी,1
यस्तै  फिल्म  अरु पनि  बनाउनुपर्छ  सर  सारै राम्रो  छ,1
यो हो नेपाली चलचित्र एसलाइ भन्छ नेपाली पन सायद यो चलचित्र लाई पुस्ता पुस्ताले याद गर्ने छ र यो सदाको लागि उत्कृष्ट छ।,1
चलचित्र  एकदम  मन पर्‍यो।,1
चित्त नबुझेको कुरा कि  सात पटक हेर्दा नि चित्त बुझेन यो फिल्म लाई,1
धेरै राम्रो फिल्म र सन्देशमुलक कहानी,1
कति राम्रो  फ्लिम।वास्तविक  सामाजको चित्रण अनि सबैको अभिनय  तारिफ गरेर थाकिन्न। खोट लगाउने कुनै ठाउँ छैन।,1
सन्देश मुलक फिलिम छ । कति राम्रो अभिनय ।मन छोयो ।,1
नेपाल मा यस्तो फिल्म चै नबनाउ है को जंगली हो बनाउने।,-1
यो फिलिम मलाइ सारै राम्रो लायो पाँच छ चोटी त हेरि सके  सारै राम्रो  छ,1
कता कता कपी गरेर बनाको जस्तो लाग्यो फिल्म । ,-1
फिल्म राम्रौ हो कथा अभिनय राम्रो छ टिम मेम्बर को काम उत्कृष्ट फाईट पक्ष पनि उत्कृष्ट नेपाली नया फिल्म नया चिज पाए उत्कृष्ट वोव,1
यस्तो झुर फिल्म हेर्न भन्दा बरु एक प्याक लगाएर सुत्छु निद्रा नलागे पनि,-1
पागल हारु ले मात्रै राम्रो भन्छ यो फिल्म ले दर्साक लाई नै प्रन्क गरेको छ छि समयको बर्बाद,-1
यो फ्लिम हलमा चाहिँ खासै चलेन तर युटुबमा चाहिँ ट्रेडिङ्मा परेछ है । खुसी लाग्यो ।,1
हिरो ले आखाको ज्योती गुमाएको दृस्य  निकै भावुक लाग्यो,1
छ्या येस्तो पनि फिल्म समय र डाटा को मात्र सत्यानास,-1
यस्तै जाबो फील्म त के  हेर्नु है!!,-1
यो फिलिम धेरै राम्रो लागो मलाइ हुन त आफ्नो हेराइ  मा फरक हुने हो तर मलाइ सारै मन परो,1
सारै दामी छ है यो फीलीम पहिले नी हेरेको थिए बबाल छ,1
राम्रो लाग्यो लास्टमा रुवाएरै छोड्यो फिल्मले नयाँ कलाकारहरुलाई पनि माया गर्नुपर्छ कथाबस्तु राम्रो रैछ,1
नुन नहाली पकाको मासु जस्तै रैछ चलचित्र ।,-1
खासै राम्रो भनु या के अभिनय भन्दा कमजोरी कथामा भए जस्तो लाग्यो,-1
कता कता के नमिलेको जस्तो छ फिलीम,-1
ताईनतुईको फिल्म न हिरो  हिरो जस्तो न हिरोइन हिरोइन जस्तो,-1
कस्तो बकवास फ़िल्म हो यो । कलाकार हरू पनी पर्दामा अनुहार देखाउन मात्र आएको जस्तो ।,-1
छ्य छ्या छ्या एस्तो पनि फ्लिम हुन्छ यो फ्लिम हेरेर बेक्कारको दुई घण्टा लस भयो,-1
यो मोभी को मलाई सबै भन्दा धेरै ब्याग राउनड मिउजिक मन पर्यो,1
याे फिलिम मन नपर्ने हरुले अफइ फिलिम बनायेर अाफइ धित मरुन्जेल हेर्दा हुन्छ ल अरु लाई दाेस नदिउ,1
भने पछि नेपाली फिल्म पनि कुनै देश को फिल्म  भन्दा कम छोइन भन्नी यो फिल्म ले साबित गरायो आज,1
"यो हो नि फिल्म,यस्लाइ भनिन्छ नि फिल्म हिन्दी फिल्म भन्दा राम्रो फिल्म।।",1
परिवार सङ बसेर हेर्ने खाल्को मुभी हुनुपर्यो .हेर्दा हेर्दै उथ्नुपर्यो,-1
येति सनो र छोतो कथा लाई तन्काको छ  तन्काको छ । अनि फिल्म स्लो पनि भयो।,-1
"के भा को आजभोलि को नेपालि फिल्म, कुनै मा हिरो मरेको कुनै मा हिरोनि मरेको कथा मात्र हुन्छ",-1
अब त केही चेन्ज गर्नु नि कथा बस्तु हरु मा के बनाको यो हमेशा एउटै छि छि,-1
यति राम्रो फिलिम त सायद एक जुनि मा एक चोटि मात्रै बन्छ होला सायद यस्तै राम्रो फिलिम त सायद यो जुनि मा अब हेर्न पाइँदैन होला,1
पारिवारिक टचर अनि प्रेसरले एउटा सच्चा मायाको जोडीलाई जिउनु न मर्नुको दोसाँधमा धकेल्दो रहेछ भन्ने सन्देश बोकेको यो चलचित्र सार्है राम्रो लाग्यो,1
"नेपाली फिल्मको इतिहासमा एक उत्कृष्ट कथा र अभिनय ।यति सरल ,",1
मेरो मनमुटुमा बस्न सफल फिल्म फेरि हेर्दै छु,1
राम्रो कहानी भयन गफ गरेको जस्तो फिल्म,-1
"कती राम्रो नेपाली पन सहिको फिलिम ,उत्कृष्ट लाग्यो,, कलाकार हरुको उत्कृट   कला राम्रो छ //",1
साच्चै राम्रो मुभी । यस्तै मौलिक फिल्म ले नेपाली फिल्म को दर्शक बढाउन सक्छ ।,1
मैले नेपाली फिल्म धेरै हेरेको छैन। तर यो हेरेर खुब हासियो। स्याबास सबै जनालाई।,1
निकै रमाइलो अनि सामाजिक यथार्थता  मा आधारित फिल्म | ,1
"अहिलेसम्मकै मेरो जिबनको उत्कृष्ट फिल्म हेर्न पाए,सुपरहिट फिल्म ।",1
धेरै समय को प्रतिक्षा पछि बल्ल राम्रो फिल्म हेर्ने अबसर जुर्यो निकै रमाइलो लाग्यो,1
पुरानो रिति रिवाज को मुभी सारै मन पर्ने,1
सामाजिक परिवेशमा आधारित चलचित्र सारै राम्रो  बनेको रहेछ यस्तै अरु धेरै चलचित्र हरु हेर्न पाइयोस् भन्दै निर्माण टोलीहरु लाई विशेष धन्यवाद |,1
वा कति राम्रो मुभि छ।। हाम्रो सस्कृति मा आधारित बनाउनु धेरै धन्यवाद छ।। सम्पूर्ण मा,1
अ ईलेको फिलिम हेर्न मन लग्दोइन तर जय दाईको फिल्म हेर्न को मजा नोइ बेग्लोइ,1
"सिनेमा भनेको त यस्तो बबाल पो हुनु पर्छ कलाकार पनि कति छिटै हेर्नू पायो सारै राम्रो लाग्यो, हसायो पनि लास्ट मा चै रुवायो",1
यस्तो ताइ न तुइको फिल्म हेर्न को गयो होला हलमा,-1
"जति कमेडी छ यो धूम तीन उति नै सन्देशमुलक नि रहेछ,जस्तो हाम्रो देस को स्थिती छ तेस्तै नै कथा मा उतारेको रहेछ",1
चलचित्र धेरै राम्रो छ काथा बस्तु मेलेको छ चलचित्र अनुहार राम्रो ले चल्ले हैन । ,1
अलि लास्त मा चाइ अलि मन परेन है आफुले माया गरेको मान्छे लाई अरु शीत जा भन्दा चाइ म पागल प्रेमी भएको कारण ले पनि हुन सक्छ,-1
म अब यसको आर्को पार्ट हेर्नको लागि बाचेको छु शायद यो जस्तो फिल्म न बन्ने छ न कहिल्यै बिर्सने छ कसैले जय नेपालि आमाका सन्तानहरुलाइ,1
जत्ती हेरे पनि धित नै मर्दैन यो फिल्म ऐले सम्म बीस पटक भन्दा धेरै हेरी सके । आज फेरी हेर्दै,1
दामि लाग्यो नेपाली फिलिम को नया रुप ।,1
म लाई मन पर्ने नेपाली फिल्म मध्ये यो नि एक हो।,1
फिलम भनेको यस्तो हुनुपर्छ सब कुराको समिश्रण सुपर हित  कथा मा बनेको छ एउटा छुट्टै कथा,1
फिलिम हेरियो । प्रस्तुती र अभिनय अब्बल छ । अरु फिलिम अझै अब्बल बनोस् । शुभकामना,1
कताको भाषा हो यो  कति झुर फिल्म रैछ  नत दुःख को नत रोमान्टिक फिल्म  नै,-1
"बडो गज्जव रहेछ,यथार्थ घटनामा आधारित कथामा रहेछ ,भावुक बनायो",1
 यस्तो यस्तो कथाले गरदा हो गाउँ समाज बिगरने यो कथा भन्दा अरु कुनै कथा सोचाई अाऐन है हजुर हरुलाई फेरि पनि बादाईछ सबै टिम लाई,-1
धेरै पछि नेपाली परिवेशमा मध्यम बर्गको जीवन शैलीशीत  अतेन्त मेल खाने चलचित्र रैछ,1
आहा सान्दर्भिक फिल्म सारै मन छोयो लास्टको सिन ले,1
सानो हुदा हेरेको मूवी फेरी हेर्दै सच्चिकै मन छोयो अहिलेको मूवी हरु लाई टक्कर दिने छमता अझै पनि छ यों मूवी मा,1
"यति राम्रो फिल्म हेरेर न रुने को होला, खास गरी आजको पढे लेखेका शिक्षित युवा वर्गले हेर्ने लायक को फिल्म रहेछ।।",1
"बास्तबमै राम्रो फिल्म बनेको रहेछ ,आजकल को पुस्ता ले यस्तो फिल्म बुज्दैनन हामी पनि नया पुस्ता नै हो तर समसामयिक बिसय बस्तु बुज्ने सामर्थ्य राख्छौ",1
यो फिल्म हेरे पछि आँसु थाम्नै सकिएन।सारै मर्मस्पर्शी लाग्यो सम्पूर्ण टिमलाइ हृदय देखि नै धन्यवाद छ।,1
हाम्रो समाज को तितो यथार्थ रूवायो धेरै पछि नेपालि चलचित्र ले,1
"हरेक छोराहरुले हेर्नै पर्ने फिल्म रैछ,आँसु अनगिन्ती झरे",1
यो मोभी हेरेर आमा बुबा को माया कति हुन्छ भनेर बुज्न सकिन्छ,1
सहि लाग्यो मुभी पैसाले मातिएर इज्जत लुट्दै हिन्ने प्ले ब्वाए हरुको लागि एउटा सन्देश पनि हो यो ।,1
गलफेरन धेरै बनाउँन नहुदो रहेछ भनि कुरा बुझियो।। यो मुभि बाट लासटमा आएर।।दामि,1
यो फ्लिम ले चाहि केटी को पाठ सिकायो केटि को जात जनायो ,1
फिल्म राम्रो छ। केटीको दबल रोल रहेछ अनि हिरोलाइ दुबै जना मिलेर नै यस्तो गरेको रहेछ । ,1
फिल्म बेकार को टायम को बर्बाद  यो फिल्म हल मा हेर्ने मान्छे को पैसाको सत्यनास मात्रै हैट ताइन तुइको फिल्म   न रोमान्चक छ न  कमेडी छ |,-1
न पक्ष न बिपक्ष संधै निष्पक्ष । समाज परिवर्तनको लागि एस.पी. को आवाज,1
खासै तेति राम्रो फिलिम त हैन तै पनि हेरियो हेर्दाहेर्दै बोरिङ भयो,-1
कति राम्रो गित शब्द पनि तेस्तै राम्रो अनि पुजा जि र अाकाश जि जाेडि त झनै धेरै राम्रो,1
सारै राम्रो छ अभीनय गीत यकदमै राम्रो छ धन्यबाद छ पुआ जोडी लाई,1
अति राम्रो यार कसै कसैको जिन्दगी सङ पनि मेल खाने रैछ राम्रो लागियो,1
धेरै राम्रो फिल्म छ नेपाली फिल्म मधे धेरै मन पर्ने भनेको नै धडकन फिल्म हो मेरो बेस्ट फिल्म लभस्टोरी छ मन छुने फिल्म,1
बकवास फिल्म रैछ यार कथा पनि कस्तो हो रबिन र इसा ले नाटक गरेको देख्दा रितु ले बद्ला लिएको त हो छ्या छ्या,1
राम्रो छ फिल्म। यत्तीको फिल्म नेपालमा आउनु नै ठूलो कुरा हो।,1
सबै कलाकारकाे अभिनय उत्कृष्ट भन्दा पनि उत्कृष्ट छ ।,1
एक सय एक कलाकार हरु को अभिनयले गर्दा फिल्म राम्रो भएछ,1
कथा बस्तु राम्रो लागेन मलाई त ।,-1
अहिले सम्मको झल्लो फिल्म राम्रो नि लागेन,-1
यो चलचित्र का लेखक निर्देशक लाई धेरै धन्यवाद सोचे भन्दा फरक पन वा क्या दामी फिल्म बनाउनु भएछ ।,1
फिलिम हो त यस्तो पाट 2 को प्रतिक्षामा छु हजुर,1
जव फिल्म पूरा हेरियो साचै नेपाली फिल्म इन्ड्रस्टी मा ठूलो फडको मारेको जस्तो लाग्यो ,1
एउटा नया इतिहास लेख्यो यो फिल्म ले यती धेरै  राम्रो फिल्म नेपाल मा बन्छ सक्छ भन्ने नया उदाहरण हो यो,1
यथार्थमा आधारित बनाउनु पर्यो कथा र कानुन बमोजिम पनि!!,-1
यो चलचित्र अन्य भाषामा बनायेर वितरण गरे हुन्छ। यस फिल्मले हर भाषामा सफलता हासिल गर्छ।,1
यो फिल्म सत्यतथ्यमा आधारित रहेछ।,1
नेपािल िफल्म यो लेभल सम्म पुग्नु राम्रो कुरा हो,1
फिल्म सन्देश मुलुक छ । बधाई छ पुरै टिम लाइ उत्कृष्ट लेखन निर्देसन र सबै कलाकार को अभिनय को लागी ,1
चलचित्र भनेको त एस्तो पो होस् ।,1
जसले जे भने पनि फिल्म उत्कृष्ट बनेको छ अनि सन्देशमुलक पनि बधाई,1
नेपालि फिल्म यो लेभलको पनि हुब्छ भनेर नसोच्ने कति जना हुनु हुन्छ अबो सोछ बदलम । नेपाली सिनेमालाई सफलताको सुभकामना ।,1
नेपाली फिल्म पनि सबैइ यस्तो राम्रो बन्यो भने त दामी हुन्छ,1
साउथको फिल्मलाइ टक्कर दिने।फिल्म।बन्या रैछ है।पूरा मसला मिक्स्,1
आजभोलि यति राम्रो नेपाली मुभी बन्न थालेपछि किन चाहियो हिन्दी मुभि,1
अन्तरास्ट्रिय स्तको फिलिम बन्न थालेछ।,1
फिल्मको नाम एकातिर कथाबस्तु अर्कोतिर,-1
नेपाली फिल्महरु ठुलो बजेत मा बाने पनि लगानी उठाउन धेरै गार्हो देखिन्छ।,-1
फिल्मको नाम र पोष्टर मात्र अन्तर्राष्ट्रिय स्तरको भएर क्यार्नु ! भित्री गुदि धमलाको बुढिको टिकटक भिडियो भन्दा नि गतिलो हुँदैन !! ,-1
नेपाली फिल्म राम्राे हुनेे त टेर्लर मा मात्र हाे।,-1
भने पछि कथा उहीँ घिसे पिटेको त्यो भन्दा केही छैन ।,-1
"पुराने शैलीको दृश्य मात्र देखियो। ट्रेलर हेर्दा पनि परम्परागत फिल्म जस्तै लाग्यो, पैसा खर्च गरे पछि अलि फरक र बौध्दिक फिल्महरु निर्माण गरे गज्जब हुने थियो।",-1
डायलगहरु मन परेन।,-1
ब्याक मिउजिक बेकार छ  अलि अबस्यक भन्दा ठुलो डाइलोग पनि राम्रो संघ सुनिएन,-1
कलाकार आफ्नो ठाउमा छन तर कथा नै बलियो हुदैन यस्ता ताल न सुरका फिल्म कति आए कति गए,-1
बलिवुडलाई हेर्दा पनि नहेरी सिधै  हलिवुडलाई टक्कर दिने मुभी बनेछ नेपालमा खुसी लाग्यो,1
जति हेरे नि मन भरिदैन यो फिल्म आशु को मुहान फुटेर आउछ,1
साहै राम्रो फिलिम अजै पनि गित उतिकै हिट,1
